"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 04 03:25:29 UTC 2024","Sun Feb 04 03:25:32 UTC 2024","2468","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Feb 04 02:38:33 UTC 2024","Sun Feb 04 02:38:48 UTC 2024","15066","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Feb 04 02:27:14 UTC 2024","Sun Feb 04 02:28:13 UTC 2024","59316","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sun Feb 04 04:05:01 UTC 2024","Sun Feb 04 04:05:26 UTC 2024","25322","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Sun Feb 04 02:34:30 UTC 2024","Sun Feb 04 02:34:47 UTC 2024","17018","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Feb 04 03:44:16 UTC 2024","Sun Feb 04 03:44:16 UTC 2024","361","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sun Feb 04 03:31:04 UTC 2024","Sun Feb 04 03:31:07 UTC 2024","3248","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sun Feb 04 02:32:41 UTC 2024","Sun Feb 04 02:32:41 UTC 2024","150","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sun Feb 04 03:31:10 UTC 2024","Sun Feb 04 03:31:12 UTC 2024","2655","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sun Feb 04 03:35:22 UTC 2024","Sun Feb 04 03:35:36 UTC 2024","14752","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Sun Feb 04 02:23:09 UTC 2024","Sun Feb 04 02:23:30 UTC 2024","20385","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Feb 04 02:32:50 UTC 2024","Sun Feb 04 02:32:51 UTC 2024","575","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
